 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:16:41                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


282 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000282 0x1EB60050 0x000A88A0 0x1EB60040 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000210 0x1C910078 0x00035FD0 0x1C910068 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000563 0x1CBC0110 0x00000018 0x1CBC0100 0x00000038 0x00000000 new         N       N    ??(00000)::??
000701 0x1CBC0178 0x0000001C 0x1CBC0168 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000278 0x1CBC0450 0x00000018 0x1CBC0440 0x00000038 0x00000000 new         N       N    ??(00000)::??
000635 0x1CBC04B8 0x00000018 0x1CBC04A8 0x00000038 0x00000000 new         N       N    ??(00000)::??
000273 0x1CBC0588 0x0000001C 0x1CBC0578 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000402 0x22B10E38 0x00000154 0x22B10E28 0x00000174 0x00000018 new         N       N    ??(00000)::??
000673 0x1C441050 0x0008C02C 0x1C441040 0x0008C04C 0x00000000 new[]       N       N    ??(00000)::??
000430 0x22271050 0x00331980 0x22271040 0x003319A0 0x002ED760 new[]       N       N    ??(00000)::??
000709 0x1CB01278 0x00000008 0x1CB01268 0x00000028 0x00000000 new         N       N    ??(00000)::??
000636 0x23111728 0x0000003C 0x23111718 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000260 0x1CD61DD8 0x00000154 0x1CD61DC8 0x00000174 0x00000018 new         N       N    ??(00000)::??
000708 0x23111F20 0x0000003C 0x23111F10 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000745 0x1CD61F78 0x0003DF31 0x1CD61F68 0x0003DF51 0x00000000 new[]       N       N    ??(00000)::??
000716 0x1F712050 0x000FAEC0 0x1F712040 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000324 0x11402160 0x0000003C 0x11402150 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000410 0x11E523C0 0x000000D4 0x11E523B0 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000208 0x11402848 0x0000003C 0x11402838 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000565 0x114028D0 0x0000003C 0x114028C0 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000494 0x10A62C08 0x0000003C 0x10A62BF8 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000137 0x11402C00 0x0000003C 0x11402BF0 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000395 0x11402D98 0x0000003C 0x11402D88 0x0000005C 0x00000000 new         N       N    ??(00000)::??
000188 0x11E02E60 0x00000154 0x11E02E50 0x00000174 0x00000018 new         N       N    ??(00000)::??
000280 0x11402F30 0x0000003C 0x11402F20 0x0000005C 0x00000000 new         N       N    ??(00000)::??
