 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/26/2024 15:34:13                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000369 0x22010030 0x00170DF8 0x22010020 0x00170E18 0x000A7480 new[]       N       N    ??(00000)::??
000316 0x10E90038 0x0000002C 0x10E90028 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000268 0x1C370030 0x0017F4D5 0x1C370020 0x0017F4F5 0x00000000 new[]       N       N    ??(00000)::??
000225 0x1F0A0030 0x000CC660 0x1F0A0020 0x000CC680 0x00000000 new[]       N       N    ??(00000)::??
000096 0x19C00030 0x0012CCA1 0x19C00020 0x0012CCC1 0x00000000 new[]       N       N    ??(00000)::??
000122 0x1A550058 0x00035FD0 0x1A550048 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000343 0x10E900E8 0x00000030 0x10E900D8 0x00000050 0x00000004 new         N       N    ??(00000)::??
000179 0x10E90140 0x0000002C 0x10E90130 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000213 0x10E90198 0x0000002C 0x10E90188 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000217 0x10E901F0 0x00000030 0x10E901E0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000076 0x10940218 0x000000D4 0x10940208 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000378 0x10E902A0 0x00000030 0x10E90290 0x00000050 0x00000008 new         N       N    ??(00000)::??
000079 0x10E902F8 0x00000030 0x10E902E8 0x00000050 0x00000000 new         N       N    ??(00000)::??
000075 0x10E90350 0x0000002C 0x10E90340 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000109 0x10E903A8 0x0000002C 0x10E90398 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000178 0x108D03E0 0x00000140 0x108D03D0 0x00000160 0x00000018 new         N       N    ??(00000)::??
000113 0x10E90400 0x00000030 0x10E903F0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000016 0x00EC0440 0x000001F4 0x00EC0430 0x00000214 0x000001EC new[]       N       N    ??(00000)::??
000379 0x10E90458 0x00000030 0x10E90448 0x00000050 0x00000008 new         N       N    ??(00000)::??
000144 0x10E904B0 0x0000002C 0x10E904A0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000315 0x108D0548 0x00000140 0x108D0538 0x00000160 0x00000018 new         N       N    ??(00000)::??
000148 0x10E90560 0x00000030 0x10E90550 0x00000050 0x00000000 new         N       N    ??(00000)::??
000087 0x109C0598 0x00000038 0x109C0588 0x00000058 0x00000000 new         N       N    ??(00000)::??
000121 0x109C0718 0x00000038 0x109C0708 0x00000058 0x00000000 new         N       N    ??(00000)::??
000143 0x108D0980 0x00000140 0x108D0970 0x00000160 0x00000018 new         N       N    ??(00000)::??
000210 0x109C0A18 0x00000038 0x109C0A08 0x00000058 0x00000000 new         N       N    ??(00000)::??
