 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:33:36                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000122 0x112F0000 0x00035FD0 0x112EFFF0 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000128 0x03950030 0x000D7F40 0x03950020 0x000D7F60 0x000C5F58 new[]       N       N    ??(00000)::??
000091 0x114501F0 0x00000198 0x114501E0 0x000001B8 0x00000000 new[]       N       N    ??(00000)::??
000110 0x114503B0 0x000000D4 0x114503A0 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000224 0x11450558 0x00000008 0x11450548 0x00000028 0x00000000 new         N       N    ??(00000)::??
000345 0x11450588 0x00000004 0x11450578 0x00000024 0x00000000 new         N       N    ??(00000)::??
000104 0x114505B8 0x00000004 0x114505A8 0x00000024 0x00000000 new         N       N    ??(00000)::??
000297 0x10F10620 0x00002E80 0x10F10610 0x00002EA0 0x00000000 new[]       N       N    ??(00000)::??
000351 0x1B280650 0x000000D4 0x1B280640 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000207 0x11450678 0x00000004 0x11450668 0x00000024 0x00000000 new         N       N    ??(00000)::??
000173 0x11450798 0x00000004 0x11450788 0x00000024 0x00000000 new         N       N    ??(00000)::??
000242 0x114507C8 0x00000004 0x114507B8 0x00000024 0x00000000 new         N       N    ??(00000)::??
000380 0x11450858 0x00000004 0x11450848 0x00000024 0x00000000 new         N       N    ??(00000)::??
000205 0x10C608B8 0x00000020 0x10C608A8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000139 0x114508E8 0x00000004 0x114508D8 0x00000024 0x00000000 new         N       N    ??(00000)::??
000381 0x1AF20958 0x0003DF31 0x1AF20948 0x0003DF51 0x00000000 new[]       N       N    ??(00000)::??
000311 0x11450978 0x00000004 0x11450968 0x00000024 0x00000000 new         N       N    ??(00000)::??
000276 0x11450A98 0x00000004 0x11450A88 0x00000024 0x00000000 new         N       N    ??(00000)::??
000074 0x10310AB8 0x00000140 0x10310AA8 0x00000160 0x00000018 new         N       N    ??(00000)::??
000300 0x1AE70B78 0x000067E8 0x1AE70B68 0x00006808 0x00002640 new[]       N       N    ??(00000)::??
000218 0x10C60BD0 0x0000001C 0x10C60BC0 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000108 0x10310D88 0x00000140 0x10310D78 0x00000160 0x00000018 new         N       N    ??(00000)::??
000216 0x10C60F78 0x00000020 0x10C60F68 0x00000040 0x00000000 new         N       N    ??(00000)::??
000129 0x1AF90FC8 0x00065918 0x1AF90FB8 0x00065938 0x00023FE0 new[]       N       N    ??(00000)::??
000126 0x1AEF0FF0 0x0002F940 0x1AEF0FE0 0x0002F960 0x00000000 new[]       N       N    ??(00000)::??
000277 0x1CD61030 0x00185945 0x1CD61020 0x00185965 0x00000000 new[]       N       N    ??(00000)::??
